

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
180.967  000.154  000.154: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline.vim
180.990  000.490  000.336: sourcing /Users/xuwei/.vim/bundle/ctrlsf.vim/after/plugin/ctrlsf.vim
181.052  000.602: loading after plugins
181.064  000.012: inits 3
182.452  001.388: reading viminfo
182.471  000.019: setting raw mode
182.490  000.019: start termcap
182.523  000.033: clearing screen
185.291  000.169  000.169: sourcing /Users/xuwei/.vim/bundle/syntastic/autoload/syntastic/log.vim
185.966  000.278  000.278: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions.vim
186.360  000.051  000.051: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/quickfix.vim
186.756  000.033  000.033: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/netrw.vim
187.509  000.062  000.062: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/section.vim
188.088  000.197  000.197: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/highlighter.vim
188.237  001.138  000.879: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/term.vim
188.656  000.061  000.061: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/ctrlp.vim
189.038  000.023  000.023: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/ctrlspace.vim
189.469  000.091  000.091: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/hunks.vim
189.876  000.053  000.053: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/tagbar.vim
190.478  000.208  000.208: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/branch.vim
190.917  000.050  000.050: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/fugitiveline.vim
191.349  000.045  000.045: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/syntastic.vim
191.858  000.121  000.121: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/whitespace.vim
192.386  000.089  000.089: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/wordcount.vim
192.806  000.022  000.022: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/keymap.vim
206.293  000.054  000.054: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/themes.vim
207.488  001.655  001.601: sourcing /Users/xuwei/.vim/bundle/awesome-vim-colorschemes/autoload/airline/themes/gruvbox.vim
208.700  003.016  001.361: sourcing /Users/xuwei/.vim/bundle/awesome-vim-colorschemes/autoload/airline/themes/gruvbox.vim
226.556  000.157  000.157: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/builder.vim
227.204  000.083  000.083: sourcing /Users/xuwei/.vim/bundle/vim-airline/autoload/airline/extensions/default.vim
266.556  078.345: opening buffers
270.651  000.201  000.201: sourcing /Users/xuwei/.vim/bundle/vim-signature/autoload/signature/sign.vim
271.253  000.224  000.224: sourcing /Users/xuwei/.vim/bundle/vim-signature/autoload/signature/mark.vim
274.150  000.119  000.119: sourcing /Users/xuwei/.vim/bundle/vim-gitgutter/autoload/gitgutter.vim
275.388  000.264  000.264: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/buffers.vim
275.849  000.065  000.065: sourcing /Users/xuwei/.vim/bundle/vim-ctrlspace/autoload/ctrlspace/jumps.vim
275.913  008.484: BufEnter autocommands
275.915  000.002: editing files in windows
276.619  000.181  000.181: sourcing /Users/xuwei/.vim/bundle/rainbow_parentheses.vim/autoload/rainbow_parentheses.vim
277.669  001.573: VimEnter autocommands
277.671  000.002: before starting main loop
284.367  004.506  004.506: sourcing /Users/xuwei/.vim/bundle/vim-fugitive/autoload/fugitive.vim
287.817  002.274  002.274: sourcing /Users/xuwei/.vim/bundle/tagbar/autoload/tagbar.vim
288.454  000.061  000.061: sourcing /Users/xuwei/.vim/bundle/tagbar/autoload/tagbar/debug.vim
317.001  000.382  000.382: sourcing /Users/xuwei/.vim/bundle/tagbar/autoload/tagbar/types/ctags.vim
317.596  000.045  000.045: sourcing /Users/xuwei/.vim/bundle/tagbar/autoload/tagbar/prototypes/typeinfo.vim
328.147  000.496  000.496: sourcing /Users/xuwei/.vim/bundle/vim-gitgutter/autoload/gitgutter/hunk.vim
330.051  044.616: first screen update
330.086  000.035: --- VIM STARTED ---
